ID,Name,GroupName
502,Cape Seashore Vegetation,Seashore Vegetation
503,Ruens Silcrete Renosterveld,Silcrete Renosterveld
504,Southern Afrotemperate Forest,Zonal & Intrazonal Forests
505,Cape Winelands Shale Fynbos,Shale Fynbos
506,Cape Flats Dune Strandveld,Western Strandveld
507,Cape Seashore Vegetation,Seashore Vegetation
508,Cape Seashore Vegetation,Seashore Vegetation
509,Kogelberg Sandstone Fynbos,Sandstone Fynbos
510,Elim Ferricrete Fynbos,Ferricrete Fynbos
511,Cape Seashore Vegetation,Seashore Vegetation
512,Ruens Silcrete Renosterveld,Silcrete Renosterveld
513,Cape Winelands Shale Fynbos,Shale Fynbos
514,Ruens Silcrete Renosterveld,Silcrete Renosterveld
515,Ruens Silcrete Renosterveld,Silcrete Renosterveld
516,Kogelberg Sandstone Fynbos,Sandstone Fynbos
517,Kogelberg Sandstone Fynbos,Sandstone Fynbos
518,Ruens Silcrete Renosterveld,Silcrete Renosterveld
519,Western Coastal Shale Band Vegetation,Shale Band Vegetation
520,Elgin Shale Fynbos,Shale Fynbos
521,Cape Coastal Lagoons,Waterbodies
522,Albertinia Sand Fynbos,Sand Fynbos
523,Ruens Silcrete Renosterveld,Silcrete Renosterveld
524,Ruens Silcrete Renosterveld,Silcrete Renosterveld
525,Ruens Silcrete Renosterveld,Silcrete Renosterveld
526,Ruens Silcrete Renosterveld,Silcrete Renosterveld
527,Ruens Silcrete Renosterveld,Silcrete Renosterveld
528,Ruens Silcrete Renosterveld,Silcrete Renosterveld
529,Ruens Silcrete Renosterveld,Silcrete Renosterveld
530,Ruens Silcrete Renosterveld,Silcrete Renosterveld
531,Cape Seashore Vegetation,Seashore Vegetation
532,Albertinia Sand Fynbos,Sand Fynbos
533,Ruens Silcrete Renosterveld,Silcrete Renosterveld
534,Groot Brak Dune Strandveld,Western Strandveld
535,Ruens Silcrete Renosterveld,Silcrete Renosterveld
536,Canca Limestone Fynbos,Limestone Fynbos
537,Ruens Silcrete Renosterveld,Silcrete Renosterveld
538,Cape Flats Dune Strandveld,Western Strandveld
539,Peninsula Granite Fynbos,Granite Fynbos
540,Ruens Silcrete Renosterveld,Silcrete Renosterveld
541,Ruens Silcrete Renosterveld,Silcrete Renosterveld
542,Kogelberg Sandstone Fynbos,Sandstone Fynbos
543,Ruens Silcrete Renosterveld,Silcrete Renosterveld
544,Ruens Silcrete Renosterveld,Silcrete Renosterveld
545,Canca Limestone Fynbos,Limestone Fynbos
546,Ruens Silcrete Renosterveld,Silcrete Renosterveld
547,Ruens Silcrete Renosterveld,Silcrete Renosterveld
548,Ruens Silcrete Renosterveld,Silcrete Renosterveld
549,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
550,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
551,Ruens Silcrete Renosterveld,Silcrete Renosterveld
552,Ruens Silcrete Renosterveld,Silcrete Renosterveld
553,Ruens Silcrete Renosterveld,Silcrete Renosterveld
554,Ruens Silcrete Renosterveld,Silcrete Renosterveld
555,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
556,Canca Limestone Fynbos,Limestone Fynbos
557,Albertinia Sand Fynbos,Sand Fynbos
558,Albertinia Sand Fynbos,Sand Fynbos
559,Ruens Silcrete Renosterveld,Silcrete Renosterveld
560,Ruens Silcrete Renosterveld,Silcrete Renosterveld
561,Ruens Silcrete Renosterveld,Silcrete Renosterveld
562,Canca Limestone Fynbos,Limestone Fynbos
563,Elim Ferricrete Fynbos,Ferricrete Fynbos
564,Kogelberg Sandstone Fynbos,Sandstone Fynbos
565,Cape Winelands Shale Fynbos,Shale Fynbos
566,Albertinia Sand Fynbos,Sand Fynbos
567,Ruens Silcrete Renosterveld,Silcrete Renosterveld
568,Ruens Silcrete Renosterveld,Silcrete Renosterveld
569,Cape Seashore Vegetation,Seashore Vegetation
570,Ruens Silcrete Renosterveld,Silcrete Renosterveld
571,Ruens Silcrete Renosterveld,Silcrete Renosterveld
572,Ruens Silcrete Renosterveld,Silcrete Renosterveld
573,Southern Afrotemperate Forest,Zonal & Intrazonal Forests
574,Elgin Shale Fynbos,Shale Fynbos
575,Ruens Silcrete Renosterveld,Silcrete Renosterveld
576,Ruens Silcrete Renosterveld,Silcrete Renosterveld
577,Cape Inland Salt Pans,Inland Saline Vegetation
578,Ruens Silcrete Renosterveld,Silcrete Renosterveld
579,Ruens Silcrete Renosterveld,Silcrete Renosterveld
580,Western Coastal Shale Band Vegetation,Shale Band Vegetation
581,Ruens Silcrete Renosterveld,Silcrete Renosterveld
582,Ruens Silcrete Renosterveld,Silcrete Renosterveld
583,Albertinia Sand Fynbos,Sand Fynbos
584,Albertinia Sand Fynbos,Sand Fynbos
585,Ruens Silcrete Renosterveld,Silcrete Renosterveld
586,Albertinia Sand Fynbos,Sand Fynbos
587,Kogelberg Sandstone Fynbos,Sandstone Fynbos
588,Albertinia Sand Fynbos,Sand Fynbos
589,Ruens Silcrete Renosterveld,Silcrete Renosterveld
590,Ruens Silcrete Renosterveld,Silcrete Renosterveld
591,Southern Afrotemperate Forest,Zonal & Intrazonal Forests
592,Ruens Silcrete Renosterveld,Silcrete Renosterveld
593,Ruens Silcrete Renosterveld,Silcrete Renosterveld
594,Ruens Silcrete Renosterveld,Silcrete Renosterveld
595,Western Coastal Shale Band Vegetation,Shale Band Vegetation
596,Hangklip Sand Fynbos,Sand Fynbos
597,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
598,Ruens Silcrete Renosterveld,Silcrete Renosterveld
599,Cape Inland Salt Pans,Inland Saline Vegetation
600,Albertinia Sand Fynbos,Sand Fynbos
601,Albertinia Sand Fynbos,Sand Fynbos
602,Ruens Silcrete Renosterveld,Silcrete Renosterveld
603,Albertinia Sand Fynbos,Sand Fynbos
604,Western Coastal Shale Band Vegetation,Shale Band Vegetation
605,Ruens Silcrete Renosterveld,Silcrete Renosterveld
606,Ruens Silcrete Renosterveld,Silcrete Renosterveld
607,Peninsula Granite Fynbos,Granite Fynbos
608,Peninsula Granite Fynbos,Granite Fynbos
609,Albertinia Sand Fynbos,Sand Fynbos
610,Ruens Silcrete Renosterveld,Silcrete Renosterveld
611,Western Coastal Shale Band Vegetation,Shale Band Vegetation
612,Overberg Sandstone Fynbos,Sandstone Fynbos
613,Peninsula Granite Fynbos,Granite Fynbos
614,Cape Inland Salt Pans,Inland Saline Vegetation
615,Reclaimed land,Waterbodies
616,Ruens Silcrete Renosterveld,Silcrete Renosterveld
617,Reclaimed land,Waterbodies
618,Canca Limestone Fynbos,Limestone Fynbos
619,Ruens Silcrete Renosterveld,Silcrete Renosterveld
620,Ruens Silcrete Renosterveld,Silcrete Renosterveld
621,Canca Limestone Fynbos,Limestone Fynbos
622,Albertinia Sand Fynbos,Sand Fynbos
623,Canca Limestone Fynbos,Limestone Fynbos
624,Reclaimed land,Waterbodies
625,Ruens Silcrete Renosterveld,Silcrete Renosterveld
626,Ruens Silcrete Renosterveld,Silcrete Renosterveld
627,Groot Brak Dune Strandveld,Western Strandveld
628,Ruens Silcrete Renosterveld,Silcrete Renosterveld
629,Canca Limestone Fynbos,Limestone Fynbos
630,Cape Lowland Freshwater Wetlands,Freshwater Wetlands
631,Ruens Silcrete Renosterveld,Silcrete Renosterveld
632,Canca Limestone Fynbos,Limestone Fynbos
633,Ruens Silcrete Renosterveld,Silcrete Renosterveld
634,Southern Cape Valley Thicket,Albany Thicket
635,Cape Winelands Shale Fynbos,Shale Fynbos
636,Canca Limestone Fynbos,Limestone Fynbos
637,Cape Seashore Vegetation,Seashore Vegetation
638,Western Coastal Shale Band Vegetation,Shale Band Vegetation
639,Ruens Silcrete Renosterveld,Silcrete Renosterveld
640,Eastern Ruens Shale Renosterveld,Shale Renosterveld
641,Cape Inland Salt Pans,Inland Saline Vegetation
642,Canca Limestone Fynbos,Limestone Fynbos
643,Canca Limestone Fynbos,Limestone Fynbos
644,Cape Seashore Vegetation,Seashore Vegetation
645,Ruens Silcrete Renosterveld,Silcrete Renosterveld
646,Western Coastal Shale Band Vegetation,Shale Band Vegetation
647,Ruens Silcrete Renosterveld,Silcrete Renosterveld
