geometry,OBJECTID,Shape,NAME,MAPCODE12,Map code subtype,Bioregion,Biome,Changed in version,Change reference,Conservation target,Biome code,Group code,Group name,Bioregional code,Legend,Veg Type SQKM 2012,Document Link,Subtype name,Book Sort,Polygon SQKM,SHAPE_LENG
Geocortex.Gis.Geometries.Polygon,188,,Elim Ferricrete Fynbos,FFf1, ,Southwest Fynbos Bioregion,Fynbos,VM06,VegMap 2006,30,F,FFf,Ferricrete Fynbos,F02,FFf 1  Elim Ferricrete Fynbos,665.5642,Descriptions\FFf_1_2006.docx, ,01 10 001,0.0778,2575.5020398237
Geocortex.Gis.Geometries.Polygon,189,,Overberg Sandstone Fynbos,FFs12, ,Southwest Fynbos Bioregion,Fynbos,VM06,VegMap 2006,30,F,FFs,Sandstone Fynbos,F02,FFs 12  Overberg Sandstone Fynbos,1169.4725,Descriptions\FFs12_2006.docx, ,01 01 012,0.2319,2091.63650401062
Geocortex.Gis.Geometries.Polygon,190,,Elim Ferricrete Fynbos,FFf1, ,Southwest Fynbos Bioregion,Fynbos,VM06,VegMap 2006,30,F,FFf,Ferricrete Fynbos,F02,FFf 1  Elim Ferricrete Fynbos,665.5642,Descriptions\FFf_1_2006.docx, ,01 10 001,0.3539,2382.49800230468
Geocortex.Gis.Geometries.Polygon,191,,Elim Ferricrete Fynbos,FFf1, ,Southwest Fynbos Bioregion,Fynbos,VM06,VegMap 2006,30,F,FFf,Ferricrete Fynbos,F02,FFf 1  Elim Ferricrete Fynbos,665.5642,Descriptions\FFf_1_2006.docx, ,01 10 001,5.1556,18557.2103502598
Geocortex.Gis.Geometries.Polygon,192,,Overberg Sandstone Fynbos,FFs12, ,Southwest Fynbos Bioregion,Fynbos,VM06,VegMap 2006,30,F,FFs,Sandstone Fynbos,F02,FFs 12  Overberg Sandstone Fynbos,1169.4725,Descriptions\FFs12_2006.docx, ,01 01 012,0.2843,2464.70760224133
Geocortex.Gis.Geometries.Polygon,193,,Southern Coastal Forest,FOz6, ,Zonal & Intrazonal Forests,Forests,VM06,VegMap 2006,21,FO,FOz,Zonal & Intrazonal Forests,FOz,FOz 6  Southern Coastal Forest,165.1131,Descriptions\FOz_6_2006.docx, ,09 01 006,1.009,9738.12579584523
Geocortex.Gis.Geometries.Polygon,194,,Cape Lowland Freshwater Wetlands,AZf1, ,Freshwater Wetlands,Azonal Vegetation,VM06,VegMap 2006,24,AZ,AZf,Freshwater Wetlands,AZf,AZf 1  Cape Lowland Freshwater Wetlands,331.9622,Descriptions\AZf_1_2006.docx, ,10 04 001,0.1943,1921.12461413186
Geocortex.Gis.Geometries.Polygon,195,,Cape Lowland Freshwater Wetlands,AZf1, ,Freshwater Wetlands,Azonal Vegetation,VM06,VegMap 2006,24,AZ,AZf,Freshwater Wetlands,AZf,AZf 1  Cape Lowland Freshwater Wetlands,331.9622,Descriptions\AZf_1_2006.docx, ,10 04 001,0.6641,9627.96980917686
Geocortex.Gis.Geometries.Polygon,196,,Cape Lowland Freshwater Wetlands,AZf1, ,Freshwater Wetlands,Azonal Vegetation,VM06,VegMap 2006,24,AZ,AZf,Freshwater Wetlands,AZf,AZf 1  Cape Lowland Freshwater Wetlands,331.9622,Descriptions\AZf_1_2006.docx, ,10 04 001,0.4474,6548.20701999334
Geocortex.Gis.Geometries.Polygon,197,,Southern Coastal Forest,FOz6, ,Zonal & Intrazonal Forests,Forests,VM06,VegMap 2006,21,FO,FOz,Zonal & Intrazonal Forests,FOz,FOz 6  Southern Coastal Forest,165.1131,Descriptions\FOz_6_2006.docx, ,09 01 006,0.2515,2453.80842660194
Geocortex.Gis.Geometries.Polygon,198,,Cape Lowland Freshwater Wetlands,AZf1, ,Freshwater Wetlands,Azonal Vegetation,VM06,VegMap 2006,24,AZ,AZf,Freshwater Wetlands,AZf,AZf 1  Cape Lowland Freshwater Wetlands,331.9622,Descriptions\AZf_1_2006.docx, ,10 04 001,0.9995,10485.7448476892
Geocortex.Gis.Geometries.Polygon,199,,Overberg Sandstone Fynbos,FFs12, ,Southwest Fynbos Bioregion,Fynbos,VM06,VegMap 2006,30,F,FFs,Sandstone Fynbos,F02,FFs 12  Overberg Sandstone Fynbos,1169.4725,Descriptions\FFs12_2006.docx, ,01 01 012,0.5346,3097.83548810774
Geocortex.Gis.Geometries.Polygon,200,,Western Coastal Shale Band Vegetation,FFb2, ,Southwest Fynbos Bioregion,Fynbos,VM06,VegMap 2006,30,F,FFb,Shale Band Vegetation,F02,FFb 2  Western Coastal Shale Band Vegetation,134.5109,Descriptions\FFb_2_2006.docx, ,01 05 002,1.7657,26702.7393586878
Geocortex.Gis.Geometries.Polygon,201,,Cape Lowland Freshwater Wetlands,AZf1, ,Freshwater Wetlands,Azonal Vegetation,VM06,VegMap 2006,24,AZ,AZf,Freshwater Wetlands,AZf,AZf 1  Cape Lowland Freshwater Wetlands,331.9622,Descriptions\AZf_1_2006.docx, ,10 04 001,0.549,5185.77752226306
Geocortex.Gis.Geometries.Polygon,202,,Cape Lowland Freshwater Wetlands,AZf1, ,Freshwater Wetlands,Azonal Vegetation,VM06,VegMap 2006,24,AZ,AZf,Freshwater Wetlands,AZf,AZf 1  Cape Lowland Freshwater Wetlands,331.9622,Descriptions\AZf_1_2006.docx, ,10 04 001,0.1745,3114.8765006252
Geocortex.Gis.Geometries.Polygon,203,,Elim Ferricrete Fynbos,FFf1, ,Southwest Fynbos Bioregion,Fynbos,VM06,VegMap 2006,30,F,FFf,Ferricrete Fynbos,F02,FFf 1  Elim Ferricrete Fynbos,665.5642,Descriptions\FFf_1_2006.docx, ,01 10 001,2.4881,7823.64271099991
